SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date,Community
Vacant/Abandoned Building,11-00027426,01/06/2011,,,,,,,,10141,S,EBERHART,AVE,60628.0,1181366.76050284,1837830.21057416,9.0,5.0,49.0,41.710242518079646,-87.61140818189308,"(41.710242518079646, -87.61140818189308)",2011-01-06,49
Vacant/Abandoned Building,11-00001710,01/01/2011,Front,,Open,REAR,Vacant,False,False,1427,S,ST LOUIS,AVE,60623.0,1153268.14610007,1892910.36801408,24.0,10.0,29.0,41.861991117568905,-87.71285525975965,"(41.861991117568905, -87.71285525975965)",2011-01-01,29
Vacant/Abandoned Building,11-00001993,01/01/2011,Front,,Open,FRONT AND REAR,Vacant,False,True,952,N,LOCKWOOD,AVE,60651.0,1140849.70919731,1905836.05189713,37.0,15.0,25.0,41.89769807845251,-87.75812394284395,"(41.89769807845251, -87.75812394284395)",2011-01-01,25
Vacant/Abandoned Building,11-00002159,01/01/2011,Front,,Open,,Vacant,False,True,4046,W,PALMER,ST,60639.0,1148946.422618,1914312.93159061,31.0,25.0,20.0,41.92080665863923,-87.72816564560988,"(41.92080665863923, -87.72816564560988)",2011-01-01,20
Vacant/Abandoned Building,11-00002440,01/01/2011,Front,,Open,,Vacant,False,True,7105,S,EBERHART,AVE,60619.0,1180806.00859116,1858020.5280188,6.0,3.0,69.0,41.765659988884934,-87.61284272023426,"(41.76565998888494, -87.61284272023427)",2011-01-01,69
Vacant/Abandoned Building,11-00002535,01/01/2011,Front,,Open,SIDE DR,Vacant,False,True,9136,S,CARPENTER,ST,60620.0,1170922.08966622,1844225.68972654,21.0,22.0,73.0,41.72802658720868,-87.64947225457534,"(41.72802658720868, -87.64947225457534)",2011-01-01,73
Vacant/Abandoned Building,11-00002627,01/01/2011,Front,,Open,REAR DOOR AND GARAGE IS OPEN,Vacant,False,False,8200,S,TALMAN,AVE,60652.0,1160132.32077264,1850161.37970887,18.0,8.0,70.0,41.74454350926752,-87.68883456043969,"(41.744543509267515, -87.68883456043969)",2011-01-01,70
Vacant/Abandoned Building,11-00002926,01/01/2011,Front,,Open,ALL DOORS AND WINDOWS,Vacant,False,True,2642,W,WILCOX,ST,60612.0,1158777.63143002,1899255.44661489,2.0,11.0,27.0,41.87929159238292,-87.69245683699295,"(41.87929159238292, -87.69245683699296)",2011-01-01,27
Vacant/Abandoned Building,11-00003866,01/02/2011,Front,,Open,FRONT,Vacant,False,True,4813,S,WOOD,ST,60609.0,1165159.19071745,1872776.87307521,20.0,9.0,61.0,41.806498608787344,-87.6697760057757,"(41.80649860878734, -87.6697760057757)",2011-01-02,61
Vacant/Abandoned Building,11-00003977,01/02/2011,Front,,Boarded,SIDE,Vacant,False,True,10357,S,AVENUE L,,60617.0,1201831.77168224,1836889.71187722,10.0,4.0,52.0,41.7071664422372,-87.53649515949978,"(41.707166442237195, -87.53649515949978)",2011-01-02,52
Vacant/Abandoned Building,11-00003999,01/02/2011,Front,,Boarded,REAR DR,Vacant,False,True,11826,S,YALE,AVE,60628.0,1176736.83891281,1826516.11648117,34.0,5.0,53.0,41.67930025439897,-87.6287026251003,"(41.67930025439897, -87.62870262510032)",2011-01-02,53
Vacant/Abandoned Building,11-00004013,01/02/2011,Front,,Open,,Vacant,False,True,6154,W,PATTERSON,AVE,60634.0,1134696.44357218,1923631.06871859,38.0,16.0,17.0,41.946640681483544,-87.78030307322024,"(41.94664068148355, -87.78030307322024)",2011-01-02,17
Vacant/Abandoned Building,11-00004026,01/02/2011,Front,,Open,,Vacant,False,False,622,N,LARAMIE,AVE,60644.0,1141584.38322814,1903645.42988354,28.0,15.0,25.0,41.8916732028274,-87.75547971911513,"(41.8916732028274, -87.75547971911512)",2011-01-02,25
Vacant/Abandoned Building,11-00004211,01/02/2011,Front,,Open,FRONT AND THE REAR,Vacant,False,False,1045,W,111TH,ST,60643.0,1171332.2797831001,1831204.19190357,34.0,22.0,75.0,41.69228468273412,-87.64834910499147,"(41.69228468273412, -87.64834910499147)",2011-01-02,75
Vacant/Abandoned Building,11-00004253,01/02/2011,Front,,Open,WINDOWS,Vacant,False,False,1728,N,MOODY,AVE,60639.0,1135148.70029287,1910847.43231954,29.0,25.0,25.0,41.91155291235325,-87.77894450813534,"(41.911552912353244, -87.77894450813535)",2011-01-02,25
Vacant/Abandoned Building,11-00004468,01/02/2011,Front,,Open,DOORS AND WINDOWS,Vacant,False,True,5094,W,GLADYS,AVE,60644.0,1142251.16023319,1897857.00781633,28.0,15.0,25.0,41.875776711776425,-87.75317463387077,"(41.875776711776425, -87.75317463387078)",2011-01-02,25
Vacant/Abandoned Building,11-00004485,01/02/2011,Front,,Open,FRONT DOOR OPEN/UNSECURED,Vacant,False,True,7654,S,NORMAL,AVE,60620.0,1174288.21248011,1854163.18333441,17.0,6.0,69.0,41.75522230553736,-87.63684692549982,"(41.75522230553736, -87.63684692549981)",2011-01-02,69
Vacant/Abandoned Building,11-00004704,01/02/2011,Front,,Open,DOORS AND WINDOWS UNSECURED,Vacant,False,True,5224,S,MAY,ST,60609.0,1169539.15458772,1870148.6629895,16.0,9.0,61.0,41.799192594447064,-87.65378801047098,"(41.79919259444706, -87.65378801047098)",2011-01-02,61
Vacant/Abandoned Building,11-00005151,01/03/2011,Front,,Open,,Vacant,False,False,4315,W,25TH,PL,60623.0,1148196.4146142001,1886707.40578755,22.0,10.0,30.0,41.845068476552775,-87.73163251152094,"(41.845068476552775, -87.73163251152093)",2011-01-03,30
Vacant/Abandoned Building,11-00005154,01/03/2011,Front,,Open,,Vacant,False,False,4322,W,JACKSON,BLVD,60624.0,1147621.5504671999,1898336.3192796002,28.0,11.0,26.0,41.876990693750756,-87.73344401948988,"(41.87699069375076, -87.73344401948987)",2011-01-03,26
Vacant/Abandoned Building,11-00005157,01/03/2011,Front,,Open,,Vacant,False,False,2155,W,PIERCE,AVE,60622.0,1161751.15102788,1910213.71001171,32.0,14.0,24.0,41.90930050590516,-87.6812327494236,"(41.90930050590516, -87.68123274942359)",2011-01-03,24
