,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
26270,03/01/2011,Completed - Dup,03/01/2011,11-00341145,Street Lights - All/Out,6300 S FRANCISCO AVE,60629.0,1158130.21639938,1862732.11912222,15.0,8.0,66.0,41.77908044933661,-87.69582922319401,"(41.779080449336604, -87.69582922319402)",2011-03-01
26271,03/01/2011,Completed - Dup,03/01/2011,11-00343611,Street Lights - All/Out,6400 S KENWOOD AVE,60637.0,1186169.52888426,1862835.20491751,20.0,3.0,42.0,41.778746920069906,-87.59303199552895,"(41.778746920069906, -87.59303199552896)",2011-03-01
26272,03/01/2011,Completed - Dup,03/01/2011,11-00346573,Street Lights - All/Out,6813 S KEELER AVE,60629.0,1149544.57208122,1859088.69079631,13.0,8.0,65.0,41.76925264094751,-87.72739949018779,"(41.76925264094751, -87.7273994901878)",2011-03-01
26273,03/01/2011,Completed - Dup,03/01/2011,11-00346622,Street Lights - All/Out,6700 S KEELER AVE,60629.0,1149524.70710658,1859840.71283097,13.0,8.0,65.0,41.771316697312734,-87.72745288807108,"(41.771316697312734, -87.72745288807108)",2011-03-01
26274,03/01/2011,Completed - Dup,03/01/2011,11-00346719,Street Lights - All/Out,6800 S KEDVALE AVE,60629.0,1149875.06807677,1859184.40718348,13.0,8.0,65.0,41.76950890673723,-87.7261855527301,"(41.76950890673723, -87.7261855527301)",2011-03-01
26275,03/01/2011,Completed - Dup,03/01/2011,11-00346822,Street Lights - All/Out,6852 S KEELER AVE,60629.0,1149552.01002238,1858826.45141396,13.0,8.0,65.0,41.76853286892124,-87.72737899802448,"(41.76853286892124, -87.72737899802449)",2011-03-01
26276,03/01/2011,Completed - Dup,03/02/2011,11-00339035,Street Lights - All/Out,2610 N OAK PARK AVE,60707.0,1130644.22730116,1916602.03396665,36.0,25.0,18.0,41.92742296526189,-87.79536021886497,"(41.92742296526189, -87.79536021886499)",2011-03-01
26277,03/01/2011,Completed - Dup,03/02/2011,11-00339161,Street Lights - All/Out,1000 N LONG AVE,60651.0,1140128.14616575,1906138.24316768,37.0,15.0,25.0,41.89854057221695,-87.76076679438779,"(41.89854057221695, -87.7607667943878)",2011-03-01
26278,03/01/2011,Completed - Dup,03/02/2011,11-00339794,Street Lights - All/Out,12000 S LAFAYETTE AVE,60628.0,1178078.41677794,1825393.01951065,9.0,5.0,53.0,41.67618809277164,-87.62382576523778,"(41.67618809277164, -87.6238257652378)",2011-03-01
26279,03/01/2011,Completed - Dup,03/02/2011,11-00339823,Street Lights - All/Out,800 W BELDEN AVE,60614.0,1170565.7862946999,1915504.45613237,43.0,18.0,7.0,41.92363013461317,-87.64869672276608,"(41.92363013461317, -87.64869672276608)",2011-03-01
26280,03/01/2011,Completed - Dup,03/02/2011,11-00339831,Street Lights - All/Out,2200 N DAYTON ST,60614.0,1170257.32600069,1914834.50100131,43.0,18.0,7.0,41.921798496792974,-87.6498497346343,"(41.92179849679298, -87.64984973463432)",2011-03-01
26281,03/01/2011,Completed - Dup,03/02/2011,11-00339833,Street Lights - All/Out,900 W WEBSTER AVE,60614.0,1169926.7400868998,1914824.497984,43.0,18.0,7.0,41.921778271846364,-87.65106468118626,"(41.92177827184636, -87.65106468118627)",2011-03-01
26282,03/01/2011,Completed - Dup,03/02/2011,11-00340461,Street Lights - All/Out,6500 S FRANCISCO AVE,60629.0,1158165.47850098,1861402.862791,15.0,8.0,66.0,41.775432059974506,-87.69573607952489,"(41.775432059974506, -87.6957360795249)",2011-03-01
26283,03/01/2011,Completed - Dup,03/02/2011,11-00340552,Street Lights - All/Out,300 W 109TH PL,60628.0,1176232.15891705,1832317.73002052,34.0,5.0,49.0,41.695232071266716,-87.63037666938497,"(41.69523207126671, -87.63037666938497)",2011-03-01
26284,03/01/2011,Completed - Dup,03/02/2011,11-00341529,Street Lights - All/Out,800 W BELDEN AVE,60614.0,1170565.7862946999,1915504.45613237,43.0,18.0,7.0,41.92363013461317,-87.64869672276608,"(41.92363013461317, -87.64869672276608)",2011-03-01
26285,03/01/2011,Completed - Dup,03/02/2011,11-00342653,Street Lights - All/Out,7224 S FAIRFIELD AVE,60629.0,1159290.49442014,1856623.84919606,18.0,8.0,66.0,41.762294782787826,-87.69174255679278,"(41.76229478278783, -87.69174255679278)",2011-03-01
26286,03/01/2011,Completed - Dup,03/02/2011,11-00342666,Street Lights - All/Out,1000 N LONG AVE,,1140128.14616575,1906138.24316768,37.0,15.0,25.0,41.89854057221695,-87.76076679438779,"(41.89854057221695, -87.7607667943878)",2011-03-01
26287,03/01/2011,Completed - Dup,03/02/2011,11-00342795,Street Lights - All/Out,2145 E 98TH PL,60617.0,1192037.42991774,1840113.06980028,7.0,4.0,51.0,41.71625477820693,-87.5722570047941,"(41.71625477820693, -87.57225700479411)",2011-03-01
26288,03/01/2011,Completed - Dup,03/02/2011,11-00343178,Street Lights - All/Out,1049 N LONG AVE,60651.0,1140114.00350533,1906562.18007303,37.0,15.0,25.0,41.89970416470844,-87.7608083490003,"(41.89970416470844, -87.76080834900029)",2011-03-01
26289,03/01/2011,Completed - Dup,03/02/2011,11-00343789,Street Lights - All/Out,1148 N LOREL AVE,60651.0,1140464.57440795,1907134.09307271,37.0,15.0,25.0,41.901267134404186,-87.75950663142507,"(41.901267134404186, -87.75950663142508)",2011-03-01
26290,03/01/2011,Completed - Dup,03/02/2011,11-00344251,Street Lights - All/Out,7100 S WOODLAWN AVE,60619.0,1185443.2099687,1858147.28223264,5.0,3.0,69.0,41.765899967472116,-87.59584207308933,"(41.76589996747212, -87.59584207308933)",2011-03-01
26291,03/01/2011,Completed - Dup,03/02/2011,11-00344517,Street Lights - All/Out,7231 S CALIFORNIA AVE,60629.0,1158958.10346821,1856566.77527001,18.0,8.0,66.0,41.762144960065754,-87.69296238139557,"(41.76214496006575, -87.69296238139556)",2011-03-01
