,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
35273,08/01/2011,Completed - Dup,01/06/2012,11-03503536,Street Light - 1/Out,5830 W ALTGELD ST,60639.0,1136969.04878714,1916019.53536936,30.0,25.0,19.0,41.92571327863345,-87.77213267256414,"(41.925713278633445,-87.77213267256414)",2011-08-01
35274,08/01/2011,Completed - Dup,01/06/2012,11-03508937,Street Light - 1/Out,12219 S ADA ST,60643.0,1169544.09826875,1823728.74098966,34.0,5.0,53.0,41.671809624535214,-87.65511136926418,"(41.67180962453522,-87.65511136926419)",2011-08-01
35275,08/01/2011,Completed - Dup,01/18/2012,11-03505224,Street Light - 1/Out,2226 N MONTICELLO AVE,60647.0,1151678.93008719,1914552.12797138,26.0,25.0,22.0,41.92140968131853,-87.71811945079055,"(41.921409681318536,-87.71811945079057)",2011-08-01
35276,08/01/2011,Completed - Dup,08/01/2011,11-03499893,Street Light - 1/Out,8401 S WINCHESTER AVE,60620.0,1164816.78906925,1848949.51400067,18.0,6.0,71.0,41.7411204077058,-87.6717041414731,"(41.7411204077058,-87.67170414147309)",2011-08-01
35277,08/01/2011,Completed - Dup,08/01/2011,11-03499907,Street Light - 1/Out,3745 W 80TH PL,60652.0,1152818.02900392,1850950.14232872,18.0,8.0,70.0,41.74685521441,-87.71561458698307,"(41.74685521441,-87.71561458698307)",2011-08-01
35278,08/01/2011,Completed - Dup,08/01/2011,11-03500034,Street Light - 1/Out,9400 S THROOP ST,60620.0,1169311.31951405,1842429.10629334,21.0,22.0,73.0,41.72313146290986,-87.6554246348477,"(41.72313146290987,-87.6554246348477)",2011-08-01
35279,08/01/2011,Completed - Dup,08/02/2011,11-03499914,Street Light - 1/Out,826 N LEAMINGTON AVE,60651.0,1141872.02018778,1905015.1816142,37.0,15.0,25.0,41.895426644101526,-87.75438940212112,"(41.89542664410153,-87.75438940212113)",2011-08-01
35280,08/01/2011,Completed - Dup,08/02/2011,11-03501913,Street Light - 1/Out,10022 S FOREST AVE,60628.0,1180017.0001261998,1838582.31642729,9.0,5.0,49.0,41.71233734276876,-87.61632826721274,"(41.71233734276876,-87.61632826721274)",2011-08-01
35281,08/01/2011,Completed - Dup,08/02/2011,11-03503379,Street Light - 1/Out,7959 S ST LAWRENCE AVE,60619.0,1181615.20028395,1852361.08058389,6.0,6.0,44.0,41.75011123120526,-87.61005119890253,"(41.75011123120526,-87.61005119890253)",2011-08-01
35282,08/01/2011,Completed - Dup,08/02/2011,11-03505649,Street Light - 1/Out,10026 S FOREST AVE,60628.0,1180017.7001262,1838555.51642729,9.0,5.0,49.0,41.71226378406379,-87.6163265209324,"(41.7122637840638,-87.6163265209324)",2011-08-01
35283,08/01/2011,Completed - Dup,08/02/2011,11-03505658,Street Light - 1/Out,2700 E 83RD ST,60617.0,1195609.88399917,1850458.90721727,7.0,4.0,46.0,41.74455724807634,-87.55883213819813,"(41.74455724807634,-87.55883213819813)",2011-08-01
35284,08/01/2011,Completed - Dup,08/02/2011,11-03506854,Street Light - 1/Out,1444 W 18TH ST,60608.0,1166906.72992943,1891504.28502106,25.0,12.0,31.0,41.8578513099436,-87.66283050690538,"(41.85785130994359,-87.66283050690537)",2011-08-01
35285,08/01/2011,Completed - Dup,08/02/2011,11-03507359,Street Light - 1/Out,10037 S CALUMET AVE,60628.0,1180352.6599861,1838488.58010346,9.0,5.0,49.0,41.71207244136637,-87.61510185499166,"(41.71207244136637,-87.61510185499166)",2011-08-01
35286,08/01/2011,Completed - Dup,08/02/2011,11-03508653,Street Light - 1/Out,3525 W THORNDALE AVE,60659.0,1151712.94008331,1938970.47029069,39.0,17.0,13.0,41.98841468174022,-87.71734960416927,"(41.98841468174022,-87.71734960416926)",2011-08-01
35287,08/01/2011,Completed - Dup,08/02/2011,11-03508787,Street Light - 1/Out,937 E 42ND PL,60653.0,1183241.1277105,1877109.68992622,4.0,21.0,36.0,41.817985954795525,-87.60332318092483,"(41.81798595479552,-87.60332318092483)",2011-08-01
