,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What is the Nature of this Code Violation?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
54390,12/01/2013,Completed,12/02/2013,13-01789518,Sanitation Code Violation,Garbage in alley,11 N WABASH AVE,60602.0,1176808.02743339,1900455.67500362,42.0,1.0,32.0,41.88219654631122,-87.6262164105311,"(41.88219654631122, -87.6262164105311)",2013-12-01
54391,12/01/2013,Completed,12/02/2013,13-01789575,Sanitation Code Violation,Other,117 E CHICAGO AVE,60611.0,1177127.31009432,1905751.7648663998,42.0,18.0,8.0,41.89672206300365,-87.62488345727834,"(41.89672206300365, -87.62488345727834)",2013-12-01
54392,12/01/2013,Completed,12/02/2013,13-01789765,Sanitation Code Violation,Other,5924 W PATTERSON AVE,60634.0,1136222.88707155,1923663.50733058,38.0,16.0,15.0,41.94670253323799,-87.77469145636006,"(41.94670253323799, -87.77469145636007)",2013-12-01
54393,12/01/2013,Completed,12/02/2013,13-01789976,Sanitation Code Violation,Garbage in alley,4915 N KEDZIE AVE,60625.0,1154156.5971982,1932476.98109676,33.0,17.0,14.0,41.97054761158045,-87.70853575412907,"(41.97054761158045, -87.70853575412906)",2013-12-01
54394,12/01/2013,Completed,12/02/2013,13-01790367,Sanitation Code Violation,Garbage in alley,5738 W WINDSOR AVE,60630.0,1137264.36962137,1929693.38110419,38.0,16.0,15.0,41.96323040350596,-87.7707177067482,"(41.96323040350596, -87.7707177067482)",2013-12-01
54395,12/01/2013,Completed,12/02/2013,13-01790498,Sanitation Code Violation,Garbage in alley,3330 W CUYLER AVE,60618.0,1153464.19602192,1926745.54989561,33.0,17.0,16.0,41.95483402511305,-87.71123478513962,"(41.95483402511305, -87.71123478513962)",2013-12-01
54396,12/02/2013,Completed,12/02/2013,13-01794264,Sanitation Code Violation,Overflowing carts,1630 W MELROSE ST,60657.0,1164832.60359535,1921641.59006677,32.0,19.0,6.0,41.94059445079775,-87.66958793226601,"(41.94059445079774, -87.66958793226601)",2013-12-02
54424,12/03/2013,Completed,12/03/2013,13-01796896,Sanitation Code Violation,Garbage in alley,1910 N BISSELL ST,60614.0,1169666.52990714,1912787.86001852,43.0,18.0,7.0,41.916195306735396,-87.65208020259911,"(41.9161953067354, -87.65208020259911)",2013-12-03
54425,12/03/2013,Completed,12/03/2013,13-01796906,Sanitation Code Violation,Garbage in alley,900 W WILLOW ST,60614.0,1170025.38080856,1911914.15251162,43.0,18.0,7.0,41.91378997661288,-87.65078735701401,"(41.913789976612875, -87.65078735701402)",2013-12-03
54426,12/03/2013,Completed,12/03/2013,13-01796953,Sanitation Code Violation,Dumpster not being emptied,2476 N LINCOLN AVE,60614.0,1169972.36057773,1916703.7005826,43.0,19.0,7.0,41.926933900755174,-87.65084210493522,"(41.92693390075517, -87.65084210493522)",2013-12-03
54427,12/03/2013,Completed,12/03/2013,13-01796959,Sanitation Code Violation,Other,1950 N LARRABEE ST,60614.0,1171971.52507534,1912903.63587866,43.0,18.0,7.0,41.91646244639608,-87.64360841066174,"(41.91646244639608, -87.64360841066174)",2013-12-03
54428,12/03/2013,Completed,12/03/2013,13-01796964,Sanitation Code Violation,Other,2440 N CANNON DR,60614.0,1174538.41160331,1916590.193328,43.0,19.0,7.0,41.9265214774903,-87.63406740633927,"(41.9265214774903, -87.63406740633926)",2013-12-03
54429,12/03/2013,Completed,12/03/2013,13-01797479,Sanitation Code Violation,Garbage in alley,6208 N ROCKWELL ST,60659.0,1157868.34260959,1941116.81068555,50.0,24.0,2.0,41.99418061099047,-87.69465046960106,"(41.99418061099047, -87.69465046960106)",2013-12-03
54431,12/01/2013,Completed,12/03/2013,13-01789712,Sanitation Code Violation,Other,1200 W NEWPORT AVE,60657.0,1167675.39911823,1923052.20687881,44.0,19.0,6.0,41.94440437086733,-87.6590989302341,"(41.94440437086733, -87.6590989302341)",2013-12-01
54432,12/01/2013,Completed,12/03/2013,13-01790592,Sanitation Code Violation,Standing water,2446 N SEMINARY AVE,60614.0,1168551.24650021,1916519.09270011,43.0,19.0,7.0,41.926458247733045,-87.65606940929972,"(41.92645824773305, -87.65606940929972)",2013-12-01
54433,12/02/2013,Completed,12/03/2013,13-01791136,Sanitation Code Violation,Dumpster not being emptied,2716 W ARTHUR AVE,60645.0,1157146.12723153,1943023.72110959,50.0,24.0,2.0,41.999428000394104,-87.69725499036537,"(41.9994280003941, -87.69725499036538)",2013-12-02
54434,12/02/2013,Completed,12/03/2013,13-01791378,Sanitation Code Violation,Overflowing carts,3899 N AVONDALE AVE,60618.0,1148602.26108775,1925616.97152117,30.0,17.0,16.0,41.95183257457784,-87.72913746305893,"(41.951832574577836, -87.72913746305892)",2013-12-02
