,route,date,daytype,rides
634130,1,2015-01-02,W,999
634131,1,2015-01-05,W,2072
634132,1,2015-01-06,W,1900
634133,1,2015-01-07,W,1551
634134,1,2015-01-08,W,1925
634135,1,2015-01-09,W,1998
634136,1,2015-01-12,W,2261
634137,1,2015-01-13,W,2336
634138,1,2015-01-14,W,2026
634139,1,2015-01-15,W,2019
634140,1,2015-01-16,W,1872
634141,1,2015-01-19,W,940
634142,1,2015-01-20,W,2148
634143,1,2015-01-21,W,2100
634144,1,2015-01-22,W,2025
634145,1,2015-01-23,W,2039
634146,1,2015-01-26,W,2349
634147,1,2015-01-27,W,2230
634148,1,2015-01-28,W,2123
634149,1,2015-01-29,W,2181
634150,1,2015-01-30,W,2040
634151,10,2015-01-01,U,453
634152,10,2015-01-02,W,460
634153,10,2015-01-03,A,617
634154,10,2015-01-04,U,420
634155,10,2015-01-10,A,370
634156,10,2015-01-11,U,323
634157,10,2015-01-17,A,499
634158,10,2015-01-18,U,580
634159,10,2015-01-24,A,448
634160,10,2015-01-25,U,347
634161,10,2015-01-31,A,385
634162,100,2015-01-02,W,465
634163,100,2015-01-05,W,648
634164,100,2015-01-06,W,654
634165,100,2015-01-07,W,349
634166,100,2015-01-08,W,345
634167,100,2015-01-09,W,541
634168,100,2015-01-12,W,855
634169,100,2015-01-13,W,744
634170,100,2015-01-14,W,816
634171,100,2015-01-15,W,766
634172,100,2015-01-16,W,829
634173,100,2015-01-19,W,368
634174,100,2015-01-20,W,775
634175,100,2015-01-21,W,842
634176,100,2015-01-22,W,732
634177,100,2015-01-23,W,834
634178,100,2015-01-26,W,851
634179,100,2015-01-27,W,722
634180,100,2015-01-28,W,830
634181,100,2015-01-29,W,758
634182,100,2015-01-30,W,788
634183,1001,2015-01-02,W,74
634184,1001,2015-01-03,A,4
634185,1001,2015-01-05,W,1
634186,1001,2015-01-06,W,8
634187,1001,2015-01-07,W,1
634188,1001,2015-01-08,W,8
634189,1001,2015-01-09,W,4
634190,1001,2015-01-10,A,1
634191,1001,2015-01-11,U,784
634192,1001,2015-01-12,W,1
634193,1001,2015-01-13,W,99
634194,1001,2015-01-15,W,1
634195,1001,2015-01-17,A,547
634196,1001,2015-01-18,U,256
634197,1001,2015-01-21,W,21
634198,1001,2015-01-23,W,1
634199,1001,2015-01-24,A,1
634200,1001,2015-01-25,U,46
634201,1001,2015-01-27,W,2
634202,1001,2015-01-28,W,2
634203,1001,2015-01-29,W,9
634204,1001,2015-01-30,W,9
634205,1001,2015-01-31,A,212
634206,103,2015-01-01,U,886
634207,103,2015-01-02,W,1832
634208,103,2015-01-03,A,1224
634209,103,2015-01-04,U,1147
634210,103,2015-01-05,W,2384
634211,103,2015-01-06,W,2410
634212,103,2015-01-07,W,1206
634213,103,2015-01-08,W,1399
634214,103,2015-01-09,W,1970
634215,103,2015-01-10,A,1092
634216,103,2015-01-11,U,1054
634217,103,2015-01-12,W,2939
634218,103,2015-01-13,W,3133
634219,103,2015-01-14,W,3530
634220,103,2015-01-15,W,3033
634221,103,2015-01-16,W,3190
634222,103,2015-01-17,A,1285
634223,103,2015-01-18,U,1098
634224,103,2015-01-19,W,1578
634225,103,2015-01-20,W,3095
634226,103,2015-01-21,W,3116
634227,103,2015-01-22,W,2952
634228,103,2015-01-23,W,3109
634229,103,2015-01-24,A,1311
634230,103,2015-01-25,U,976
634231,103,2015-01-26,W,3007
634232,103,2015-01-27,W,3283
634233,103,2015-01-28,W,3096
634234,103,2015-01-29,W,3138
634235,103,2015-01-30,W,3117
634236,103,2015-01-31,A,1304
634237,106,2015-01-01,U,246
634238,106,2015-01-02,W,845
634239,106,2015-01-03,A,452
634240,106,2015-01-04,U,269
634241,106,2015-01-05,W,1270
634242,106,2015-01-06,W,1508
634243,106,2015-01-07,W,666
634244,106,2015-01-08,W,787
634245,106,2015-01-09,W,1124
634246,106,2015-01-10,A,499
634247,106,2015-01-11,U,205
634248,106,2015-01-12,W,2232
634249,106,2015-01-13,W,2032
634250,106,2015-01-14,W,2055
634251,106,2015-01-15,W,2157
634252,106,2015-01-16,W,1542
634253,106,2015-01-17,A,573
634254,106,2015-01-18,U,266
634255,106,2015-01-19,W,625
634256,106,2015-01-20,W,2089
634257,106,2015-01-21,W,2333
634258,106,2015-01-22,W,2102
634259,106,2015-01-23,W,1503
634260,106,2015-01-24,A,677
634261,106,2015-01-25,U,255
634262,106,2015-01-26,W,2005
634263,106,2015-01-27,W,2134
634264,106,2015-01-28,W,2361
634265,106,2015-01-29,W,1836
634266,106,2015-01-30,W,1570
634267,106,2015-01-31,A,738
634268,108,2015-01-02,W,669
634269,108,2015-01-05,W,1098
634270,108,2015-01-06,W,1286
634271,108,2015-01-07,W,667
634272,108,2015-01-08,W,697
634273,108,2015-01-09,W,1068
634274,108,2015-01-12,W,1362
634275,108,2015-01-13,W,1374
634276,108,2015-01-14,W,1448
634277,108,2015-01-15,W,1439
634278,108,2015-01-16,W,1399
634279,108,2015-01-19,W,618
634280,108,2015-01-20,W,1445
634281,108,2015-01-21,W,1500
634282,108,2015-01-22,W,1408
634283,108,2015-01-23,W,1451
634284,108,2015-01-26,W,1368
634285,108,2015-01-27,W,1717
634286,108,2015-01-28,W,1378
634287,108,2015-01-29,W,1345
634288,108,2015-01-30,W,1627
634289,11,2015-01-01,U,445
634290,11,2015-01-02,W,1201
634291,11,2015-01-03,A,722
634292,11,2015-01-04,U,591
634293,11,2015-01-05,W,1473
634294,11,2015-01-06,W,1496
634295,11,2015-01-07,W,938
634296,11,2015-01-08,W,981
634297,11,2015-01-09,W,1352
634298,11,2015-01-10,A,873
634299,11,2015-01-11,U,705
634300,11,2015-01-12,W,1707
634301,11,2015-01-13,W,1652
634302,11,2015-01-14,W,1752
634303,11,2015-01-15,W,1760
634304,11,2015-01-16,W,1699
634305,11,2015-01-17,A,1104
634306,11,2015-01-18,U,683
634307,11,2015-01-19,W,1170
634308,11,2015-01-20,W,1767
634309,11,2015-01-21,W,1831
634310,11,2015-01-22,W,1670
634311,11,2015-01-23,W,1596
634312,11,2015-01-24,A,809
634313,11,2015-01-25,U,572
634314,11,2015-01-26,W,1640
634315,11,2015-01-27,W,1809
634316,11,2015-01-28,W,1823
634317,11,2015-01-29,W,1802
634318,11,2015-01-30,W,1855
634319,11,2015-01-31,A,1046
634320,111,2015-01-01,U,1404
634321,111,2015-01-02,W,2806
634322,111,2015-01-03,A,1809
634323,111,2015-01-04,U,1593
634324,111,2015-01-05,W,3485
634325,111,2015-01-06,W,3283
634326,111,2015-01-07,W,1898
634327,111,2015-01-08,W,2059
634328,111,2015-01-09,W,2919
634329,111,2015-01-10,A,1977
634330,111,2015-01-11,U,1546
634331,111,2015-01-12,W,3995
634332,111,2015-01-13,W,4160
634333,111,2015-01-14,W,4024
634334,111,2015-01-15,W,4693
634335,111,2015-01-16,W,4177
634336,111,2015-01-17,A,2190
634337,111,2015-01-18,U,1707
634338,111,2015-01-19,W,2314
634339,111,2015-01-20,W,4374
634340,111,2015-01-21,W,4090
634341,111,2015-01-22,W,4381
634342,111,2015-01-23,W,4325
634343,111,2015-01-24,A,2146
634344,111,2015-01-25,U,1708
634345,111,2015-01-26,W,4444
634346,111,2015-01-27,W,4166
634347,111,2015-01-28,W,4271
634348,111,2015-01-29,W,4284
634349,111,2015-01-30,W,4412
634350,111,2015-01-31,A,2298
634351,111A,2015-01-01,U,142
634352,111A,2015-01-02,W,208
634353,111A,2015-01-03,A,180
634354,111A,2015-01-04,U,117
634355,111A,2015-01-05,W,207
634356,111A,2015-01-06,W,177
634357,111A,2015-01-07,W,104
634358,111A,2015-01-08,W,121
634359,111A,2015-01-09,W,182
634360,111A,2015-01-10,A,128
634361,111A,2015-01-11,U,80
634362,111A,2015-01-12,W,206
634363,111A,2015-01-13,W,182
634364,111A,2015-01-14,W,165
634365,111A,2015-01-15,W,174
634366,111A,2015-01-16,W,168
634367,111A,2015-01-17,A,136
634368,111A,2015-01-18,U,128
634369,111A,2015-01-19,W,174
634370,111A,2015-01-20,W,166
634371,111A,2015-01-21,W,179
634372,111A,2015-01-22,W,179
634373,111A,2015-01-23,W,159
634374,111A,2015-01-24,A,122
634375,111A,2015-01-25,U,121
634376,111A,2015-01-26,W,159
634377,111A,2015-01-27,W,129
634378,111A,2015-01-28,W,182
634379,111A,2015-01-29,W,140
634380,111A,2015-01-30,W,234
634381,111A,2015-01-31,A,234
634382,112,2015-01-01,U,551
634383,112,2015-01-02,W,1314
634384,112,2015-01-03,A,957
634385,112,2015-01-04,U,703
634386,112,2015-01-05,W,1955
634387,112,2015-01-06,W,2113
634388,112,2015-01-07,W,949
634389,112,2015-01-08,W,1136
634390,112,2015-01-09,W,1880
634391,112,2015-01-10,A,975
634392,112,2015-01-11,U,747
634393,112,2015-01-12,W,2670
634394,112,2015-01-13,W,2545
634395,112,2015-01-14,W,2607
634396,112,2015-01-15,W,2546
634397,112,2015-01-16,W,2349
634398,112,2015-01-17,A,1110
634399,112,2015-01-18,U,774
634400,112,2015-01-19,W,1220
634401,112,2015-01-20,W,2604
634402,112,2015-01-21,W,2438
634403,112,2015-01-22,W,2604
634404,112,2015-01-23,W,2507
634405,112,2015-01-24,A,1141
634406,112,2015-01-25,U,699
634407,112,2015-01-26,W,2502
634408,112,2015-01-27,W,2915
634409,112,2015-01-28,W,2751
634410,112,2015-01-29,W,2418
634411,112,2015-01-30,W,2453
634412,112,2015-01-31,A,1286
634413,115,2015-01-01,U,1427
634414,115,2015-01-02,W,2660
634415,115,2015-01-03,A,1838
634416,115,2015-01-04,U,1597
634417,115,2015-01-05,W,3602
634418,115,2015-01-06,W,3605
634419,115,2015-01-07,W,1863
634420,115,2015-01-08,W,2147
634421,115,2015-01-09,W,3399
634422,115,2015-01-10,A,1911
634423,115,2015-01-11,U,1689
634424,115,2015-01-12,W,4638
634425,115,2015-01-13,W,4203
634426,115,2015-01-14,W,4005
634427,115,2015-01-15,W,4208
634428,115,2015-01-16,W,4111
634429,115,2015-01-17,A,2395
634430,115,2015-01-18,U,1850
634431,115,2015-01-19,W,2265
634432,115,2015-01-20,W,4310
634433,115,2015-01-21,W,4387
634434,115,2015-01-22,W,4483
634435,115,2015-01-23,W,4275
634436,115,2015-01-24,A,2429
634437,115,2015-01-25,U,1494
634438,115,2015-01-26,W,4193
634439,115,2015-01-27,W,4456
634440,115,2015-01-28,W,4348
634441,115,2015-01-29,W,4521
634442,115,2015-01-30,W,4598
634443,115,2015-01-31,A,2306
634444,119,2015-01-01,U,1980
634445,119,2015-01-02,W,3777
634446,119,2015-01-03,A,3214
634447,119,2015-01-04,U,2323
634448,119,2015-01-05,W,3983
634449,119,2015-01-06,W,3845
634450,119,2015-01-07,W,2574
634451,119,2015-01-08,W,2635
634452,119,2015-01-09,W,3785
634453,119,2015-01-10,A,2836
634454,119,2015-01-11,U,2425
634455,119,2015-01-12,W,4421
634456,119,2015-01-13,W,4827
634457,119,2015-01-14,W,4675
634458,119,2015-01-15,W,4770
634459,119,2015-01-16,W,4786
634460,119,2015-01-17,A,3308
634461,119,2015-01-18,U,2364
634462,119,2015-01-19,W,3373
634463,119,2015-01-20,W,4808
634464,119,2015-01-21,W,4929
634465,119,2015-01-22,W,4913
634466,119,2015-01-23,W,4825
634467,119,2015-01-24,A,3448
634468,119,2015-01-25,U,2300
634469,119,2015-01-26,W,4457
634470,119,2015-01-27,W,4843
634471,119,2015-01-28,W,4830
634472,119,2015-01-29,W,4983
634473,119,2015-01-30,W,5224
634474,119,2015-01-31,A,3935
634475,12,2015-01-01,U,5322
634476,12,2015-01-02,W,10683
634477,12,2015-01-03,A,6322
634478,12,2015-01-04,U,5848
634479,12,2015-01-05,W,11888
634480,12,2015-01-06,W,12267
634481,12,2015-01-07,W,7949
634482,12,2015-01-08,W,8325
634483,12,2015-01-09,W,11370
634484,12,2015-01-10,A,6735
634485,12,2015-01-11,U,6419
634486,12,2015-01-12,W,14034
634487,12,2015-01-13,W,14489
634488,12,2015-01-14,W,13942
634489,12,2015-01-15,W,15189
634490,12,2015-01-16,W,16109
634491,12,2015-01-17,A,8942
634492,12,2015-01-18,U,7090
634493,12,2015-01-19,W,9214
634494,12,2015-01-20,W,15730
634495,12,2015-01-21,W,14905
634496,12,2015-01-22,W,14752
634497,12,2015-01-23,W,15126
634498,12,2015-01-24,A,9072
634499,12,2015-01-25,U,6464
634500,12,2015-01-26,W,14691
634501,12,2015-01-27,W,15203
634502,12,2015-01-28,W,14140
634503,12,2015-01-29,W,14726
634504,12,2015-01-30,W,16099
634505,12,2015-01-31,A,9005
634506,120,2015-01-02,W,409
634507,120,2015-01-05,W,1285
634508,120,2015-01-06,W,1401
634509,120,2015-01-07,W,1056
634510,120,2015-01-08,W,1404
634511,120,2015-01-09,W,1170
634512,120,2015-01-12,W,1322
634513,120,2015-01-13,W,1307
634514,120,2015-01-14,W,1183
634515,120,2015-01-15,W,1130
634516,120,2015-01-16,W,919
634517,120,2015-01-19,W,565
634518,120,2015-01-20,W,1206
634519,120,2015-01-21,W,1230
634520,120,2015-01-22,W,1175
634521,120,2015-01-23,W,1037
634522,120,2015-01-26,W,1165
634523,120,2015-01-27,W,1128
