,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
104861,02/02/2015,Completed - Dup,02/02/2015,15-00190459,Alley Light Out,7134 S LOWE AVE,60621.0,1173380.38998179,1857590.02133394,6.0,7.0,68.0,41.76464608724334,-87.64007263511955,"(41.76464608724334, -87.64007263511954)",2015-02-02
104862,02/02/2015,Completed - Dup,02/02/2015,15-00194030,Alley Light Out,6815 S KENNETH AVE,60629.0,1147883.467095,1859058.93848822,13.0,8.0,65.0,41.76920294770328,-87.73348917602146,"(41.76920294770327, -87.73348917602146)",2015-02-02
104863,02/02/2015,Completed - Dup,02/02/2015,15-00194056,Alley Light Out,6815 S KENNETH AVE,60629.0,1147883.467095,1859058.93848822,13.0,8.0,65.0,41.76920294770328,-87.73348917602146,"(41.76920294770327, -87.73348917602146)",2015-02-02
104867,02/03/2015,Completed - Dup,02/03/2015,15-00197661,Alley Light Out,4928 W BERENICE AVE,60641.0,1142805.23502756,1925138.84060014,45.0,16.0,15.0,41.950630707646745,-87.75045950321226,"(41.95063070764674, -87.75045950321226)",2015-02-03
104868,02/03/2015,Completed - Dup,02/03/2015,15-00201766,Alley Light Out,7704 S HONORE ST,60620.0,1165356.74467208,1853591.02190747,18.0,6.0,71.0,41.75384596909221,-87.66959459174231,"(41.75384596909221, -87.66959459174231)",2015-02-03
104869,02/04/2015,Completed - Dup,02/04/2015,15-00207679,Alley Light Out,5212 S BERKELEY AVE,60615.0,1184062.279116,1870818.29667875,4.0,2.0,41.0,41.800702718258115,-87.6005077711487,"(41.80070271825812, -87.6005077711487)",2015-02-04
104870,02/02/2015,Completed - Dup,02/04/2015,15-00195107,Alley Light Out,735 N HOMAN AVE,60624.0,1153578.78806884,1904694.87831632,27.0,11.0,23.0,41.89432288304436,-87.71140146184555,"(41.89432288304436, -87.71140146184555)",2015-02-02
104871,02/02/2015,Completed,02/04/2015,15-00192665,Alley Light Out,1831 S ALLPORT ST,60608.0,1168324.33270814,1891338.12758329,25.0,12.0,31.0,41.857364863700276,-87.65763186771994,"(41.85736486370027, -87.65763186771994)",2015-02-02
104877,02/04/2015,Completed,02/05/2015,15-00213289,Alley Light Out,11747 S LAFLIN ST,60643.0,1168446.19328978,1826832.95950032,34.0,5.0,53.0,41.68035178010327,-87.65904079329708,"(41.680351780103265, -87.65904079329708)",2015-02-04
104878,02/05/2015,Completed - Dup,02/05/2015,15-00217718,Alley Light Out,6317 S KOSTNER AVE,60629.0,1148127.323425,1862292.024875,13.0,8.0,65.0,41.77807040201478,-87.73251250631789,"(41.77807040201477, -87.73251250631787)",2015-02-05
