,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,License Plate,Vehicle Make/Model,Vehicle Color,Current Activity,Most Recent Action,How Many Days Has the Vehicle Been Reported as Parked?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location,date
84943,03/12/2015,Completed,03/20/2015,15-00681987,Abandoned Vehicle Complaint,,,,,,,4600 N KNOX AVE,60630.0,1144543.62173355,1930174.39150902,45.0,17.0,16.0,,41.96450396491056,-87.74409288332443,"(41.96450396491056, -87.74409288332443)",2015-03-12
87782,03/26/2015,Completed,04/01/2015,15-00943557,Abandoned Vehicle Complaint,KV7676,Ford,Red,FVI - Outcome,Return to Owner - Vehicle,120.0,5427 S WOOD ST,60609.0,,,16.0,9.0,61.0,,41.79498094890256,-87.66932461256123,"(41.79498094890256, -87.66932461256124)",2015-03-26
89089,03/24/2015,Completed,04/29/2015,15-00903376,Abandoned Vehicle Complaint,,Ford,Red,FVI - Outcome,Need Vehicle Tow Report,21.0,5652 S SACRAMENTO AVE,60629.0,,,14.0,8.0,63.0,,41.79022277080957,-87.69873006126332,"(41.790222770809564, -87.69873006126332)",2015-03-24
92588,03/04/2015,Completed - Dup,03/05/2015,15-00525319,Abandoned Vehicle Complaint,1755,Toyota,Maroon,,,150.0,3843 N MOBILE AVE,60634.0,1133680.68647401,1924994.99870838,38.0,16.0,17.0,,41.95062670223329,-87.78386684432331,"(41.950626702233286, -87.78386684432331)",2015-03-04
92713,03/02/2015,Completed - Dup,03/05/2015,15-00494048,Abandoned Vehicle Complaint,R121159,Mazda,Black,,,30.0,5324 W CORNELIA AVE,60641.0,1140249.03290617,1922755.26582118,38.0,16.0,15.0,,41.944240937662954,-87.7603589762935,"(41.94424093766295, -87.76035897629352)",2015-03-02
92906,03/03/2015,Completed - Dup,03/03/2015,15-00502847,Abandoned Vehicle Complaint,UNKNOWN,Legacy Unknown,Red,FVI - Outcome,Create Work Order,90.0,2720 W RASCHER AVE,60625.0,1157232.22988888,1936087.98832711,40.0,20.0,4.0,,41.98050247029851,-87.69751384084614,"(41.98050247029851, -87.69751384084614)",2015-03-03
92907,03/03/2015,Completed - Dup,03/03/2015,15-00502924,Abandoned Vehicle Complaint,00000000,Jeep/Cherokee,Gray,FVI - Outcome,Create Work Order,90.0,5443 S KILDARE AVE,60632.0,1148623.11021475,1868164.92541359,23.0,8.0,62.0,,41.79368762172745,-87.73038296772768,"(41.79368762172745, -87.73038296772768)",2015-03-03
92908,03/03/2015,Completed - Dup,03/03/2015,15-00502969,Abandoned Vehicle Complaint,P331853,Honda,Black,FVI - Outcome,Create Work Order,30.0,5032 S KENNETH AVE,60632.0,1147545.35989368,1870884.67453041,23.0,8.0,57.0,,41.80125096132382,-87.73456171646214,"(41.80125096132382, -87.73456171646214)",2015-03-03
92909,03/03/2015,Completed - Dup,03/03/2015,15-00503774,Abandoned Vehicle Complaint,UNKNOW,Chrysler,Green,FVI - Outcome,Create Work Order,30.0,6323 N FRANCISCO AVE,60659.0,1155859.53177856,1941819.34293194,50.0,24.0,2.0,43.0,41.99643594965655,-87.70187845487514,"(41.996435949656544, -87.70187845487514)",2015-03-03
92910,03/03/2015,Completed - Dup,03/03/2015,15-00504320,Abandoned Vehicle Complaint,V744649,Chrysler,Black,FVI - Outcome,Create Work Order,30.0,5300 W CARMEN AVE,60630.0,1140101.5762301001,1933407.88998422,45.0,16.0,11.0,,41.973481210463774,-87.76022719209955,"(41.97348121046377, -87.76022719209955)",2015-03-03
