SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date
Vacant/Abandoned Building,15-03109667,07/01/2015,Front,,Open,,Vacant,True,True,5029,S,INDIANA,AVE,60615.0,1178450.81440412,1871722.85891207,3.0,2.0,38.0,41.80331435711192,-87.6210591667214,"(41.80331435711192, -87.62105916672141)",2015-07-01
Vacant/Abandoned Building,15-03124797,07/01/2015,Front,,Open,,Vacant,False,False,8405,S,COLFAX,AVE,60617.0,1194961.77071215,1849745.784387,7.0,4.0,46.0,41.742616363857664,-87.5612303029847,"(41.742616363857664, -87.56123030298468)",2015-07-01
Vacant/Abandoned Building,15-03255180,07/07/2015,Front,,Open,,Vacant,False,False,7438,S,MARYLAND,AVE,60619.0,1183188.68416586,1855876.70652071,8.0,3.0,69.0,41.759722030008675,-87.60417613157287,"(41.75972203000867, -87.60417613157288)",2015-07-07
Vacant/Abandoned Building,15-03255318,07/07/2015,Front,,Open,,Vacant,False,False,7829,S,INGLESIDE,AVE,60619.0,1183919.57993321,1853293.31370554,8.0,6.0,69.0,41.752615907778384,-87.60157796953297,"(41.752615907778384, -87.60157796953297)",2015-07-07
Vacant/Abandoned Building,15-03146600,07/02/2015,Front,,Open,,Vacant,False,False,7929,S,MARQUETTE,AVE,60617.0,1195555.66003108,1852914.55000918,7.0,4.0,46.0,41.751297062663326,-87.55894983967983,"(41.75129706266333, -87.55894983967983)",2015-07-02
Vacant/Abandoned Building,15-03293291,07/09/2015,Front,,Open,,Vacant,False,False,5142,S,HONORE,ST,60609.0,1164886.00992284,1870587.03280357,16.0,9.0,61.0,41.800495210422646,-87.67083984758287,"(41.800495210422646, -87.67083984758287)",2015-07-09
Vacant/Abandoned Building,15-03215322,07/05/2015,Rear,,Open,THE GARAGE AND THE REAR OF THE HOUSE,Vacant,False,False,8408,S,BAKER,AVE,60617.0,1198643.01890789,1849515.09856798,10.0,4.0,46.0,41.74189191646803,-87.54775017423843,"(41.74189191646802, -87.54775017423844)",2015-07-05
Vacant/Abandoned Building,15-03200142,07/05/2015,Front,,Open,,Vacant,False,True,2623,W,MONROE,ST,60612.0,1158881.49741961,1899587.84372418,27.0,11.0,27.0,41.88020159227773,-87.69206633803955,"(41.88020159227773, -87.69206633803954)",2015-07-05
Vacant/Abandoned Building,15-03111715,07/01/2015,Front,,Open,FRONT,Vacant,False,True,6829,S,WINCHESTER,AVE,60636.0,1164534.5098849,1859376.92791917,17.0,7.0,67.0,41.769740670798505,-87.67244490662473,"(41.7697406707985, -87.67244490662473)",2015-07-01
Vacant/Abandoned Building,15-03111752,07/01/2015,Front,,Open,FRONT,Vacant,True,False,6825,S,WINCHESTER,AVE,60636.0,1164533.8098849,1859403.62791917,17.0,7.0,67.0,41.769813953984254,-87.67244672048439,"(41.76981395398425, -87.67244672048439)",2015-07-01
