ACT Scores 2001-2016,,,,,,,ACT Means,,,,,ACT Total Tested,,,,
School Name,School ID,Network,Category,Category Breakdown,Grade,Year,Read,Math,Science,English,Composite,Read,Math,Science,English,Composite
ACE TECH HS,400010,Charter,Overall,Overall,11th Grade,2007,15.6,15.9,16.3,15.9,15.9,104,104,104,104,104
ACE TECH HS,400010,Charter,Overall,Overall,11th Grade,2008,15.5,15.7,16.7,15.1,15.8,86,86,86,86,86
ACE TECH HS,400010,Charter,Overall,Overall,11th Grade,2009,15.2,15.6,16.3,14.1,15.3,107,107,107,107,107
ACE TECH HS,400010,Charter,Overall,Overall,11th Grade,2010,15.4,16.0,16.0,15.1,15.6,119,119,119,119,119
ACE TECH HS,400010,Charter,Overall,Overall,11th Grade,2011,15.4,17.1,17.2,14.9,16.1,105,105,105,105,105
ACE TECH HS,400010,Charter,Overall,Overall,11th Grade,2012,15.0,16.7,17.3,14.7,15.9,110,110,110,110,110
ACE TECH HS,400010,Charter,Overall,Overall,11th Grade,2013,16.2,17.7,16.7,14.6,16.3,88,88,88,88,88
ACE TECH HS,400010,Charter,Overall,Overall,11th Grade,2014,15.3,16.0,15.8,13.8,15.2,90,90,90,90,90
ACE TECH HS,400010,Charter,Overall,Overall,11th Grade,2015,14.4,15.8,15.1,13.6,14.7,117,117,117,117,117
ACE TECH HS,400010,Charter,Overall,Overall,11th Grade,2016,15.3,16.1,15.5,14.0,15.2,88,89,87,89,87
AIR FORCE HS,610513,Service Leadership Academies,Overall,Overall,11th Grade,2012,17.4,17.9,18.9,18.5,18.2,90,90,90,90,90
AIR FORCE HS,610513,Service Leadership Academies,Overall,Overall,11th Grade,2013,18.4,17.3,18.8,17.9,18.1,72,72,72,72,72
AIR FORCE HS,610513,Service Leadership Academies,Overall,Overall,11th Grade,2014,18.4,17.7,18.8,18.9,18.5,101,101,101,101,101
AIR FORCE HS,610513,Service Leadership Academies,Overall,Overall,11th Grade,2015,18.3,17.8,19.2,19.2,18.6,86,86,86,86,86
AIR FORCE HS,610513,Service Leadership Academies,Overall,Overall,11th Grade,2016,18.7,18.3,19.2,18.8,18.8,46,46,46,46,46
ALCOTT HS,610524,Network 4,Overall,Overall,11th Grade,2012,17.2,17.6,18.5,18.9,18.0,66,66,66,66,66
ALCOTT HS,610524,Network 4,Overall,Overall,11th Grade,2013,16.7,17.5,17.5,15.9,16.9,66,66,66,66,66
ALCOTT HS,610524,Network 4,Overall,Overall,11th Grade,2014,17.2,17.7,18.4,17.6,17.7,50,50,50,50,50
ALCOTT HS,610524,Network 4,Overall,Overall,11th Grade,2015,16.7,17.6,18.5,16.9,17.4,54,54,54,54,54
ALCOTT HS,610524,Network 4,Overall,Overall,11th Grade,2016,17.5,17.7,18.1,17.0,17.6,69,69,69,69,69
AMANDLA,400012,Charter,Overall,Overall,11th Grade,2015,16.8,16.7,16.5,15.3,16.3,32,32,32,32,32
AMANDLA,400012,Charter,Overall,Overall,11th Grade,2016,14.9,15.2,15.5,13.3,14.8,40,40,40,39,39
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2001,15.2,16.1,15.9,13.8,15.3,282,283,282,283,282
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2002,15.5,15.8,15.9,14.4,15.4,259,259,259,259,259
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2003,15.7,15.5,16.6,14.3,15.5,255,255,255,255,255
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2004,15.8,15.9,17.2,14.8,15.9,235,235,235,235,235
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2005,16.2,15.9,16.7,15.0,15.9,264,264,264,264,264
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2006,16.1,16.0,16.6,15.4,16.0,265,265,265,265,265
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2007,16.1,16.7,17.0,16.1,16.5,292,292,292,292,292
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2008,16.7,17.1,17.4,16.4,16.9,259,259,259,259,259
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2009,16.7,16.4,16.8,15.2,16.3,279,279,279,279,279
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2010,16.1,16.6,16.5,14.7,16.0,341,341,341,341,341
