School ID,Name of School,Street Address,City,State,ZIP Code,Phone Number,Website,Blue Ribbon Award,CPS Performance Policy Level,CPS Performance Policy Status,Probation Length,"My Voice, My School Overall Rating",Student Response Rate,Teacher Response Rate,Involved Family,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safe,School Community,Parent-Teacher Partnership,Quality of Facilities,Healthy Schools Certification,Creative Schools Certification,NWEA Reading Growth Percentile All Grades,NWEA Reading Growth Percentile Grade 3,NWEA Reading Growth Percentile Grade 4,NWEA Reading Growth Percentile Grade 5,NWEA Reading Growth Percentile Grade 6,NWEA Reading Growth Percentile Grade 7,NWEA Reading Growth Percentile Grade 8,NWEA Math Growth All Grades,NWEA Math Growth Grade 3,NWEA Math Growth Grade 4,NWEA Math Growth Grade 5,NWEA Math Growth Grade 6,NWEA Math Growth Grade 7,NWEA Math Growth Grade 8,NWEA Reading Attainment Percentile All Grades,NWEA Reading Attainment Percentile Grade 2,NWEA Reading Attainment Percentile Grade 3,NWEA Reading Attainment Percentile Grade 4,NWEA Reading Attainment Percentile Grade 5,NWEA Reading Attainment Percentile Grade 6,NWEA Reading Attainment Percentile Grade 7,NWEA Reading Attainment Percentile Grade 8,NWEA Math Attainment Percentile All Grades,NWEA Math Attainment Percentile Grade 2,NWEA Math Attainment Percentile Grade 3,NWEA Math Attainment Percentile Grade 4,NWEA Math Attainment Percentile Grade 5,NWEA Math Attainment Percentile Grade 6,NWEA Math Attainment Percentile Grade 7,NWEA Math Attainment Percentile Grade 8,EPAS Growth Percentile,EXPLORE Growth Percentile Grade 9,Plan Growth Percentile Grade 10,ACT Growth Percentile Grade 11,EPAS Attainment Percentile,EXPLORE Attainment Percentile Grade 9,PLAN Attainment Percentile Grade 10,Grade ACT Attainment Percentile Grade 11,EXPLORE Spring 2013 Average Grade 9,EXPLORE Spring 2013 Average Grade 10,EXPLORE Fall 2011 Average Grade 9,PLAN Fall 2012 Average Grade 10,ACT Spring 2013 Average Grade 11,Freshmen-on-Track Rate Percentage 2013,Freshmen-on-Track Rate Percentage 2012,4-Year Graduation Rate Percentage 2013,4-Year Graduation Rate Percentage 2012,5-Year Graduation Rate Percentage 2013,5-Year Graduation Rate Percentage 2012,College Enrollment Rate Percentage 2013,College Enrollment Rate Percentage 2012,College Persistence Rate Percentage 2013,College Persistence Rate Percentage 2012,Suspensions Per 100 2013,Suspensions Per 100 2012,Percentage of Misconducts Resulting in Suspension 2013,Percentage of Misconducts Resulting in Suspension 2012,Average Length of Suspensions 2013,Average Length of Suspensions 2012,Student Attendance Percentage 2013,Student Attendance Percentage 2012,Teacher Attendance Percentage 2013,Teacher Attendance Percentage 2012,Gr3-8 On-Track Percentage 2013,One-Year DropOut Rate Percentage 2013,One-Year DropOut Rate Percentage 2012,X Coordinate,Y Coordinate,Longitude,Latitude,Location
400010,"Architecture, Construction, and Engineering(ACE) Technical Charter",5410 S State St,Chicago,IL,60609,(773) 548-8705,http://www.acetechnical.org/,,LEVEL 2,NOT APPLICABLE,,PARTIALLY ORGANIZED,45.3%,71.8%,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,9,5,7,17,12.8,13.4,13.2,14.1,16.3,,,65.3%,61.5%,67.3%,78.8%,56.6%,64.7%,67.1%,66.7%,,,,,,,90.8%,91.4%,,,,1.9%,7.3%,1177156.6590000000,1869082.0350000000,41.79609702,-87.62588513,"(-87.62588513, 41.79609702)"
400012,Amandla Charter High School,6800 S Stewart Ave,Chicago,IL,60621,(773) 535-7150,http://www.amandlacharterschool.org,,NOT ENOUGH DATA,NOT APPLICABLE,,NOT YET ORGANIZED,51.4%,57.7%,WEAK,NEUTRAL,NEUTRAL,VERY WEAK,VERY WEAK,WEAK,NEUTRAL,WEAK,VERY WEAK,NOT CERTIFIED,INCOMPLETE DATA,88,,,95,51,60,85,66,,,66,7,85,76,25,,,,33,8,24,51,20,,,,11,6,25,53,97,97,,,22,22,,,15.1,,,,,,,,,,,,,,,,,,,,,93.4%,95.8%,,,33.3%,5.9%,,1174661.5460000000,1859841.5330000000,41.77079606,-87.6353099,"(-87.6353099, 41.77079606)"
400013,ASPIRA Charter - Early College,3986 W Barry Ave,Chicago,IL,60618,(773) 252-0970 x 137,http://www.aspirail.org,,LEVEL 2,NOT APPLICABLE,,ORGANIZED,57.8%,57.1%,NEUTRAL,STRONG,STRONG,NEUTRAL,WEAK,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,41,0,,16,21,12,17,14,14,12.9,14.4,16.1,,,50%,59.2%,66.1%,69%,52.9%,50.4%,60%,,0.6,,,,,,96.1%,93.9%,,,,3.8%,4.8%,1149268.8000000000,1920355.5400000000,41.93738186,-87.7268241,"(-87.7268241, 41.93738186)"
400015,ASPIRA Charter - Mirta Ramirez Computer Science,1711 N California Ave,Chicago,IL,60647,(773) 252-0970,http://www.aspirail.org,,LEVEL 3,NOT APPLICABLE,,NOT YET ORGANIZED,90.4%,78.6%,VERY WEAK,NEUTRAL,WEAK,VERY WEAK,VERY WEAK,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,41,29,,11,13,12,11,13.6,14.4,13.2,13.8,14.9,,,55.8%,65.2%,70.4%,78.8%,35.9%,38%,54.8%,47.7%,26.6,,58.7%,,2.6,,85.5%,87.7%,,,,6.2%,4.8%,1157476.3030000000,1911358.8970000000,41.9125311,-87.69690545,"(-87.69690545, 41.9125311)"
400018,Austin Business and Entrepreneurship Academy HS,231 N Pine Ave,Chicago,IL,60644,(773) 534-6316,http://www.abeacademy.org/,,LEVEL 3,ON PROBATION,5,NOT YET ORGANIZED,76.3%,95%,VERY WEAK,WEAK,WEAK,WEAK,VERY WEAK,WEAK,STRONG,NEUTRAL,NEUTRAL,NOT CERTIFIED,EMERGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,17,1,16,5,5,8,5,12.8,13.8,12.4,13.3,13.7,88.5%,80.6%,46.5%,57.1%,61.5%,54.4%,51.7%,55.4%,54.2%,45.7%,189.9,239.3,16.5%,28.3%,2.9,2.5,78.4%,73%,95%,94.3%,,1.4%,6.9%,1139494.7630000000,1901274.2580000000,41.88520477,-87.76321191,"(-87.76321191, 41.88520477)"
400022,Chicago High School for the Arts,521 E 35th St,Chicago,IL,60616,(773) 534-9710,http://www.chiarts.org/site/,,LEVEL 2,NOT ON PROBATION,,NOT ENOUGH DATA,0.7%,0%,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,EXCELLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,59,39,27,54,49,60,54,16.7,18.2,16.6,17.2,19.9,,,81.9%,,,,,,,,17,8.8,73.5%,77.1%,2.1,3.6,94.5%,96.1%,,,,1.7%,2.9%,1180388.6480000000,1881861.0540000000,41.83109008,-87.61364086,"(-87.61364086, 41.83109008)"
400032,Chicago Intl Charter - Ralph Ellison,1817 W 80th St,Chicago,IL,60620,(773) 478-4434,http://www.cicsellison.org,,LEVEL 3,NOT APPLICABLE,,NOT YET ORGANIZED,75.4%,94.7%,WEAK,NEUTRAL,NEUTRAL,WEAK,WEAK,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,88,50,21,22,19,26,19,14.8,15.8,13.6,15.1,16.5,,,69.9%,66.1%,67.9%,78.6%,65.5%,64.2%,70.6%,72.4%,,,,,,,94.4%,94.7%,,,,6.7%,6.2%,1165541.6720000000,1851591.4850000000,41.74835504,-87.66897348,"(-87.66897348, 41.74835504)"
400033,Chicago Intl Charter - Longwood,1309 W 95th St,Chicago,IL,60643,(773) 238-5330,http://www.cps.edu,,LEVEL 3,NOT APPLICABLE,,NOT YET ORGANIZED,87.4%,85%,VERY WEAK,VERY WEAK,WEAK,VERY WEAK,VERY WEAK,VERY WEAK,VERY WEAK,VERY WEAK,VERY WEAK,NOT CERTIFIED,INCOMPLETE DATA,0,3,12,21,3,0,0,0,2,4,5,4,0,0,20,,24,45,33,16,8,12,9,,11,25,16,16,2,7,70,68,5,92,12,8,13,15,13.4,14.4,13.9,14.8,16,,,77%,67.5%,74.4%,63.7%,74.6%,65.4%,69.6%,67.1%,,,,,,,90%,94.9%,,,,5.1%,4.1%,1169220.7320000000,1841722.3140000000,41.72119388,-87.65577682,"(-87.65577682, 41.72119388)"
400034,Chicago Intl Charter - Northtown,3900 W Peterson Ave,Chicago,IL,60659,(773) 478-3655,http://www.cicsnorthtown.org,,LEVEL 2,NOT APPLICABLE,,MODERATELY ORGANIZED,91.7%,41.1%,NOT ENOUGH DATA,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,76,95,79,47,42,54,46,16,17.8,14.9,16.3,19.1,,,83.6%,79.2%,82.3%,83.3%,74.6%,66.5%,72%,80.3%,,,,,,,95.9%,96.3%,,,,1.8%,3.3%,1149211.0560000000,1939629.4930000000,41.99027209,-87.72653468,"(-87.72653468, 41.99027209)"
400035,Chicago Math and Science Academy High School,7212 N Clark St,Chicago,IL,60626,(773) 761-8960,http://www.cmsaonline.net,,LEVEL 1,NOT APPLICABLE,,ORGANIZED,79.8%,66%,NEUTRAL,STRONG,STRONG,NEUTRAL,WEAK,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,DEVELOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,17,29,95,39,24,42,47,14.6,16.6,14,15.6,19.1,,,68.8%,67.1%,70.6%,79.4%,56.5%,47.5%,75.9%,65.6%,,,,,,,96%,95.9%,,,,6%,3.6%,1163196.4210000000,1948028.2210000000,42.01303498,-87.67485599,"(-87.67485599, 42.01303498)"
