,School Name,School ID,Network,Category,Category Breakdown,Grade,Year,Read,Math,Science,English,Composite,Read.1,Math.1,Science.1,English.1,Composite.1,Community
8,ACE TECH HS,400010.0,Charter,Overall,Overall,11th Grade,2015.0,14.4,15.8,15.1,13.6,14.7,117,117,117,117,117,40.0
13,AIR FORCE HS,610513.0,Service Leadership Academies,Overall,Overall,11th Grade,2015.0,18.3,17.8,19.2,19.2,18.6,86,86,86,86,86,34.0
18,ALCOTT HS,610524.0,Network 4,Overall,Overall,11th Grade,2015.0,16.7,17.6,18.5,16.9,17.4,54,54,54,54,54,5.0
20,AMANDLA,400012.0,Charter,Overall,Overall,11th Grade,2015.0,16.8,16.7,16.5,15.3,16.3,32,32,32,32,32,68.0
36,AMUNDSEN HS,609695.0,Network 2,Overall,Overall,11th Grade,2015.0,18.3,17.7,18.1,18.2,18.1,246,246,246,246,246,4.0
44,ASPIRA - EARLY COLLEGE HS,400013.0,Charter,Overall,Overall,11th Grade,2015.0,16.8,16.7,17.3,15.3,16.5,111,111,111,111,111,21.0
61,AUSTIN BUS & ENTRP HS,400018.0,Network 3,Overall,Overall,11th Grade,2015.0,14.2,15.0,14.3,12.5,14.0,26,26,26,26,26,25.0
68,AUSTIN POLY HS,610501.0,Network 3,Overall,Overall,11th Grade,2015.0,13.7,14.8,14.8,12.6,14.1,33,33,32,33,32,25.0
71,BANNER THERAPEUTIC HS,800001.0,,Overall,Overall,11th Grade,2015.0,,,,,,6,6,6,6,6,1.1
75,BANNER WEST HS,610555.0,Options,Overall,Overall,11th Grade,2015.0,12.9,14.3,14.1,10.4,12.9,11,11,11,11,11,25.0
77,BEACON THERAPEUTIC HS,800003.0,,Overall,Overall,11th Grade,2015.0,,,,,,6,6,6,6,6,1.1
93,BOGAN HS,609698.0,Network 10,Overall,Overall,11th Grade,2015.0,15.7,15.0,15.4,13.9,15.0,221,221,221,221,221,70.0
103,BOWEN HS,610323.0,Network 12,Overall,Overall,11th Grade,2015.0,14.2,14.9,14.8,12.8,14.2,97,97,97,97,97,46.0
112,BRONZEVILLE HS,610381.0,Network 9,Overall,Overall,11th Grade,2015.0,15.5,15.7,16.6,14.6,15.6,88,88,88,88,88,38.0
128,BROOKS HS,609726.0,ISP,Overall,Overall,11th Grade,2015.0,22.9,20.6,21.7,24.4,22.4,187,187,187,187,187,49.0
132,CAMELOT - CHICAGO EXCEL HS,400147.0,Options,Overall,Overall,11th Grade,2015.0,14.2,14.0,12.8,11.9,13.2,31,31,31,31,31,75.0
135,CAMELOT - EXCEL ENGLEWOOD HS,610565.0,Options,Overall,Overall,11th Grade,2015.0,13.0,14.2,13.1,12.0,13.1,25,25,25,25,25,68.0
137,CAMELOT - EXCEL SOUTHWEST HS,400176.0,Options,Overall,Overall,11th Grade,2015.0,12.7,14.2,12.7,11.8,12.9,11,11,11,11,11,1.1
139,CAMELOT - EXCEL WOODLAWN HS,400175.0,Options,Overall,Overall,11th Grade,2015.0,,,,,,1,1,1,1,1,1.1
158,CARVER MILITARY HS,609760.0,Service Leadership Academies,Overall,Overall,11th Grade,2015.0,17.6,17.3,18.2,17.3,17.6,121,121,121,121,121,54.0
161,CATALYST - MARIA,400115.0,Charter,Overall,Overall,11th Grade,2015.0,16.7,16.6,17.8,17.5,17.2,141,141,141,141,141,1.1
174,CHICAGO ACADEMY HS,610340.0,AUSL,Overall,Overall,11th Grade,2015.0,18.4,18.7,19.3,18.5,18.7,126,126,126,126,126,17.0
190,CHICAGO AGRICULTURE HS,609753.0,Network 10,Overall,Overall,11th Grade,2015.0,19.6,19.0,20.1,21.6,20.1,146,146,146,146,146,74.0
195,CHICAGO ARTS HS,400022.0,Contract,Overall,Overall,11th Grade,2015.0,19.7,18.1,19.2,19.8,19.2,125,125,125,125,125,35.0
204,CHICAGO MATH & SCIENCE HS,400035.0,Charter,Overall,Overall,11th Grade,2015.0,18.5,19.4,18.1,19.1,18.8,75,75,75,75,75,1.0
219,CHICAGO MILITARY HS,609754.0,Service Leadership Academies,Overall,Overall,11th Grade,2015.0,17.3,16.5,18.0,17.7,17.4,115,115,115,115,115,35.0
224,CHICAGO TECH HS,400091.0,Contract,Overall,Overall,11th Grade,2015.0,15.9,16.2,16.6,14.9,15.9,87,87,87,87,87,28.0
231,CHICAGO VIRTUAL,400036.0,Charter,Overall,Overall,11th Grade,2015.0,21.6,18.1,19.8,20.7,20.0,40,40,40,40,40,28.0
247,CHICAGO VOCATIONAL HS,609674.0,Network 12,Overall,Overall,11th Grade,2015.0,14.6,15.0,15.6,14.1,14.8,203,203,203,203,203,45.0
250,CICS - CHICAGOQUEST HS,400113.0,Charter,Overall,Overall,11th Grade,2015.0,,,,,,6,6,6,6,6,8.0
258,CICS - ELLISON HS,400032.0,Charter,Overall,Overall,11th Grade,2015.0,15.8,15.5,15.7,15.4,15.6,112,112,112,112,112,71.0
