,School Name,School ID,Network,Category,Category Breakdown,Grade,Year,Read,Math,Science,English,Composite,Read.1,Math.1,Science.1,English.1,Composite.1,Community
9,ACE TECH HS,400010.0,Charter,Overall,Overall,11th Grade,2016.0,15.3,16.1,15.5,14.0,15.2,88,89,87,89,87,40
14,AIR FORCE HS,610513.0,Service Leadership Academies,Overall,Overall,11th Grade,2016.0,18.7,18.3,19.2,18.8,18.8,46,46,46,46,46,34
19,ALCOTT HS,610524.0,Network 4,Overall,Overall,11th Grade,2016.0,17.5,17.7,18.1,17.0,17.6,69,69,69,69,69,5
21,AMANDLA,400012.0,Charter,Overall,Overall,11th Grade,2016.0,14.9,15.2,15.5,13.3,14.8,40,40,40,39,39,68
37,AMUNDSEN HS,609695.0,Network 2,Overall,Overall,11th Grade,2016.0,18.3,18.2,18.4,17.7,18.2,240,240,240,240,240,4
45,ASPIRA - EARLY COLLEGE HS,400013.0,Charter,Overall,Overall,11th Grade,2016.0,15.3,15.9,15.2,13.3,14.9,103,103,103,103,103,21
62,AUSTIN BUS & ENTRP HS,400018.0,Network 3,Overall,Overall,11th Grade,2016.0,14.4,15.3,15.8,11.8,14.4,24,24,24,24,24,25
69,AUSTIN POLY HS,610501.0,Network 3,Overall,Overall,11th Grade,2016.0,14.3,15.3,14.9,11.7,14.0,28,28,28,28,28,25
70,BACK OF THE YARDS HS,610563.0,Network 8,Overall,Overall,11th Grade,2016.0,16.8,18.5,18.1,16.8,17.6,243,243,243,243,243,61
76,BANNER WEST HS,610555.0,Options,Overall,Overall,11th Grade,2016.0,12.7,14.0,13.4,10.8,12.7,27,27,27,27,27,25
78,BEACON THERAPEUTIC HS,800003.0,,Overall,Overall,11th Grade,2016.0,,,,,,2,2,2,2,2,0
94,BOGAN HS,609698.0,Network 10,Overall,Overall,11th Grade,2016.0,15.0,15.4,15.4,13.8,14.9,179,179,179,179,179,70
