SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,Location,Community
Vacant/Abandoned Building,15-00000034,01/01/2015,Front,,Open,FRONT AND REAR,Vacant,true,false,3331,W,66TH,PL,60629,1155327.70141473,1860334.51051279,41.77255760318904,-87.706167702742,"(41.77255760318904, -87.706167702742)",66
Vacant/Abandoned Building,15-00000728,01/01/2015,Front,,Open,JUST FRONT BACK DOOR AREA LOCKED UP,Vacant,false,true,8536,S,YATES,BLVD,60617,1193650.67441029,1848841.48319405,41.740167064307315,-87.56606362815393,"(41.740167064307315, -87.56606362815393)",46
Vacant/Abandoned Building,15-00001777,01/01/2015,Rear,,Open,REAR OF HOUSE SHINGLES FALLING OFF,Vacant,false,false,1433,N,LOCKWOOD,AVE,60651,1140764.66900929,1909024.40601078,41.906448858846424,-87.75835780173256,"(41.906448858846424, -87.75835780173256)",25
Vacant/Abandoned Building,15-00002865,01/01/2015,Garage,,Open,GARAGE DOOR,Vacant,false,false,9932,S,CHARLES,ST,60643,1167751.66417777,1838769.53151597,41.713122586668746,-87.66124215994316,"(41.713122586668746, -87.66124215994316)",72
Vacant/Abandoned Building,15-00001001,01/01/2015,Rear,,Open,REAR BASEMENT DOOR IS NOT SECURED,Vacant,false,false,6411,S,VERNON,AVE,60637,1180352.61798349,1862602.25301953,41.77824311555392,-87.61436414218112,"(41.77824311555392, -87.61436414218112)",42
Vacant/Abandoned Building,15-00007593,01/02/2015,Rear,,Open,REA,Vacant,false,false,714,N,LOCKWOOD,AVE,60644,1140897.39650262,1904216.83059151,41.89325386370887,-87.75798867154046,"(41.89325386370887, -87.75798867154046)",25
Vacant/Abandoned Building,15-00005653,01/02/2015,,,Open,WINDOWS,Vacant,false,false,2751,N,CLYBOURN,AVE,60614,1162878.29020412,1918198.10030966,41.931186612266906,-87.67686761685145,"(41.931186612266906, -87.67686761685145)",7
Vacant/Abandoned Building,15-00005341,01/02/2015,Front,,Open,,Vacant,false,false,2217,W,50TH,PL,60609,1162321.9599777,1871144.79002394,41.802079610367514,-87.68022752041603,"(41.802079610367514, -87.68022752041603)",63
Vacant/Abandoned Building,15-00005211,01/02/2015,Rear,,Open,,Vacant,false,false,9901,S,NORMAL,AVE,60628,1174710.25992347,1839239.1930951,41.714259526397306,-87.63574353440536,"(41.714259526397306, -87.63574353440536)",73
Vacant/Abandoned Building,15-00004790,01/02/2015,Rear,,Boarded,1 WINDOW / REAR,Vacant,false,true,11115,S,EGGLESTON,AVE,60628,1175270.29016909,1831198.46557575,41.692182129302154,-87.6339316432056,"(41.692182129302154, -87.6339316432056)",49
Vacant/Abandoned Building,15-00011546,01/03/2015,Front,,Open,BACK DOOR,Vacant,false,true,4853,W,RICE,ST,60651,1143843.96321725,1905215.99376674,41.89594095364359,-87.74714180184003,"(41.89594095364359, -87.74714180184003)",25
Vacant/Abandoned Building,15-00009710,01/03/2015,Front,,Open,REAR,Vacant,false,false,7620,S,ABERDEEN,ST,60620,1170303.95141944,1854278.41129405,41.75562609088375,-87.65144481169796,"(41.75562609088375, -87.65144481169796)",71
Vacant/Abandoned Building,15-00008821,01/03/2015,Front,,Open,FRONT AND REAR ALL THE WINDOWS ARE BROKEN,Vacant,false,true,5219,S,INDIANA,AVE,60615,1178487.62387083,1870347.00009955,41.79953803819829,-87.62096598909855,"(41.79953803819829, -87.62096598909855)",40
Vacant/Abandoned Building,15-00009293,01/03/2015,Front,,Open,FRONT AND REAR,Occupied,true,true,324,N,LOTUS,AVE,60644,1139891.24987735,1901614.43247594,41.88613101393322,-87.76174760025361,"(41.88613101393322, -87.76174760025361)",25
Vacant/Abandoned Building,15-00013288,01/04/2015,Front,,Open,?,Vacant,false,false,3547,N,PARIS,AVE,60634,1121114.17501565,1922520.65929392,41.943823198837876,-87.8302525158855,"(41.943823198837876, -87.8302525158855)",17
Vacant/Abandoned Building,15-00013263,01/04/2015,Front,,Open,OPEN WINDOW LEFT SIDE OF BLDG.,Vacant,false,false,1921,N,RICHMOND,ST,60647,1156510.92638838,1912625.90527016,41.91602747588755,-87.70041765195906,"(41.91602747588755, -87.70041765195906)",22
Vacant/Abandoned Building,15-00012510,01/04/2015,Front,,Open,REAR DOOR,Vacant,false,true,7311,S,WOLCOTT,AVE,60636,1164952.80512185,1856191.76176699,41.76099130783692,-87.6710015181039,"(41.76099130783692, -87.6710015181039)",67
